Dagtilbud,Instnavn,Adresse,lat,lng,sid,Has Solar Panels
Skjoldhøj dagtilbud,Legehuset,Jernaldervænget 2,56.174362,10.124115,,Doesn't have solar
Skovvang og Trøjborg dagtilbud,Dagplejen Skovbo,Kornbakke Allé 58,56.180088,10.205171,,Doesn't have solar
Skovvang og Trøjborg dagtilbud,Vuggestuen Kornbakken,Kornbakke Allé 58,56.180088,10.205171,,Doesn't have solar
Skovvang og Trøjborg dagtilbud,Vuggestuen Århusbo,H.P. Christensens Gade 3,56.17392,10.204934,,Doesn't have solar
Skåde-Højbjerg dagtilbud,Bushøj,Bushøjvænget 182,56.107838,10.191457,,Doesn't have solar
Skåde-Højbjerg dagtilbud,Børnehuset Elmehøj,Elmehøjvej 4,56.102894,10.217718,,Doesn't have solar
Skåde-Højbjerg dagtilbud,Børnehuset Stenvej,Stenvej 101,56.107311,10.203209,,Doesn't have solar
Skåde-Højbjerg dagtilbud,Børnehuset Søsterhøj,Elmehøjvej 2,56.10302,10.217018,,Doesn't have solar
Skåde-Højbjerg dagtilbud,Børneslottet,Albert Naurs Vej 19,56.115582,10.201517,,Doesn't have solar
Skåde-Højbjerg dagtilbud,DII Rygården,Elverdalsvej 46,56.112808,10.198493,,Doesn't have solar
Skjoldhøj dagtilbud,Venøvej,Venøvej 7,56.175663,10.112777,,Doesn't have solar
Skåde-Højbjerg dagtilbud,Kridthuset,Saralyst Allé 56,56.116608,10.190551,,Doesn't have solar
Skåde-Højbjerg dagtilbud,Kræmmerhuset,Olaf Rudes Vej 20,56.118179,10.195434,,Doesn't have solar
Skåde-Højbjerg dagtilbud,Stennehøjallé,Stennehøj Allé 202A,56.107597,10.202253,,Doesn't have solar
Skæring-Sølyst dagtilbud,Annekæret,Annekærvej 34,56.228275,10.29793,,Doesn't have solar
Skæring-Sølyst dagtilbud,Børnehaven Labyrinten,Nordre Strandvej 159,56.202618,10.267238,,Doesn't have solar
Skæring-Sølyst dagtilbud,DII Børnenes Have,Egå Strandvej 2,56.20697,10.271466,,Doesn't have solar
Skæring-Sølyst dagtilbud,"Dagplejen i Egå, Skæring, Studstrup og Risskov",Brobjerg Parkvej 60,56.203033,10.258915,,Doesn't have solar
Skæring-Sølyst dagtilbud,Delfinhuset,Bredevej 2C,56.229683,10.295184,,Doesn't have solar
Skæring-Sølyst dagtilbud,Gl. Egå Børnehus,Eghøjvej 6,56.216492,10.267046,,Doesn't have solar
Skæring-Sølyst dagtilbud,Skærgården,Skæring Parkvej 544,56.237041,10.303473,,Doesn't have solar
Skæring-Sølyst dagtilbud,Skæringhus,Skæring Hedevej 26,56.231766,10.298968,,Doesn't have solar
Skæring-Sølyst dagtilbud,Stenhøjen,Skæring Parkvej 280,56.234993,10.302526,,Doesn't have solar
Skæring-Sølyst dagtilbud,Studsen,Skovager 4,56.245663,10.273222,,Doesn't have solar
Skæring-Sølyst dagtilbud,Vuggestuen Brohaven,Brohaven 1A,56.204453,10.269914,,Doesn't have solar
Skæring-Sølyst dagtilbud,Vuggestuen Tusindfryd,Skæring Skolevej 210,56.228466,10.297155,,Doesn't have solar
Skødstrup dagtilbud,Børnehaven Bakkehuset,Kløvervangen 68,56.262501,10.299305,,Doesn't have solar
Skødstrup dagtilbud,Børnehaven Myrhøjen,Ny Studstrupvej 3A,56.267021,10.310869,,Doesn't have solar
Skødstrup dagtilbud,Børnehuset Kloden,Ny Studstrupvej 3E,56.267632,10.31223,,Doesn't have solar
Skødstrup dagtilbud,Børnehuset Liv,Ny Studstrupvej 3B,56.267498,10.310898,,Doesn't have solar
Skødstrup dagtilbud,Engskovgård,Engskovgård 2,56.259991,10.307955,,Doesn't have solar
Skødstrup dagtilbud,Junibakken,Tronkærgårdsvej 1A,56.264572,10.302313,,Doesn't have solar
Skødstrup dagtilbud,Stationsvangen,Stationsvangen 10,56.26189,10.304809,,Doesn't have solar
Skødstrup dagtilbud,Vuggestuen Kløvervangen,Kløvervangen 64,56.262806,10.299177,,Doesn't have solar
Skødstrup dagtilbud,Væksthuset,Ny Studstrupvej 3C,56.26778,10.311425,,Doesn't have solar
Solbjerg-Mårslet dagtilbud,Børnehuset Bøgevangen,Bøgevangen 99,56.041245,10.089,,Doesn't have solar
Solbjerg-Mårslet dagtilbud,Børnehuset Mirabellen,Borrevænget 28,56.070446,10.164598,,Doesn't have solar
Solbjerg-Mårslet dagtilbud,Børnehuset Nymarken,Nymarks Allé 1,56.061363,10.156273,,Doesn't have solar
Solbjerg-Mårslet dagtilbud,Dagplejen i Solbjerg-Mårslet,Nymarks Allé 1,56.061363,10.156273,,Doesn't have solar
Solbjerg-Mårslet dagtilbud,Græsbakken,Hørretvej 14B,56.067944,10.165823,,Doesn't have solar
Solbjerg-Mårslet dagtilbud,Hasselhuset,Kærgårdsvej 4A,56.041203,10.086583,,Doesn't have solar
Solbjerg-Mårslet dagtilbud,Kærgården,Kærgårdsvej 14,56.039867,10.086547,,Doesn't have solar
Solbjerg-Mårslet dagtilbud,Mårslet Skovbørnehus,Testrupvej 8A,56.068504,10.154716,,Doesn't have solar
Solbjerg-Mårslet dagtilbud,Solhuset,Hørretvej 14A,56.067604,10.165531,,Doesn't have solar
Solbjerg-Mårslet dagtilbud,Spiren,Kærgårdsvej 39,56.039288,10.088365,,Doesn't have solar
Solbjerg-Mårslet dagtilbud,Valhalla,Bedervej 86,56.063179,10.165489,,Doesn't have solar
Specialdagtilbud Skovbrynet,Afdeling Nygårdsvej,Nygårdsvej 13,56.110981,10.175193,,Doesn't have solar
Specialdagtilbud Skovbrynet,Afdeling Skovbo,Hestehavevej 10,56.119965,10.202289,,Doesn't have solar
Specialdagtilbud Skovbrynet,Afdeling Troldhøj,Hestehavevej 10,56.119965,10.202289,,Doesn't have solar
Stavtrup dagtilbud,Børnehøjen,Højvangsvej 1A,56.129612,10.116419,,Doesn't have solar
Stavtrup dagtilbud,D.I.I. Vestermarken,Vestermarken 2,56.128181,10.111427,,Doesn't have solar
Stavtrup dagtilbud,Klokkeskoven,Klokkeskovvej 11,56.131863,10.114716,,Doesn't have solar
Stavtrup dagtilbud,Kælkebakken,Klokkeskovvej 13,56.13213,10.113268,,Doesn't have solar
Solbjerg-Mårslet dagtilbud,Fuglbjerggård,Solbjerg Hedevej 51,56.045368,10.087262,,Doesn't have solar
Stavtrup dagtilbud,Motorikinstitutionen Snurretoppen,Bispevej 5,56.136913,10.116584,,Doesn't have solar
Stavtrup dagtilbud,Paletten,Klokkeskovvej 9,56.131905,10.115543,,Doesn't have solar
Stavtrup dagtilbud,Søskrænten,Søskrænten 1,56.134235,10.124491,,Doesn't have solar
Strandens dagtilbud,Børnehuset Ved Åen,Brobjerg Parkvej 60,56.203033,10.258915,,Doesn't have solar
Strandens dagtilbud,Julsøvej,Julsøvej 3,56.205051,10.25126,,Doesn't have solar
Strandens dagtilbud,Vuggestuen Pilehuset,Brobjerg Parkvej 64,56.203407,10.258512,,Doesn't have solar
Strandens dagtilbud,Åtrolden,Åmarksvej 17,56.205975,10.259541,,Doesn't have solar
Søndervang-Vestergård dagtilbud,Børnehuset Ilden,Søndervangs Allé 40,56.111263,10.149488,,Doesn't have solar
Søndervang-Vestergård dagtilbud,Børnehuset Luften,Søndervangs Allé 40,56.111263,10.149488,,Doesn't have solar
Søndervang-Vestergård dagtilbud,Børnehuset Vandet,Søndervangs Allé 40,56.111263,10.149488,,Doesn't have solar
Tilst dagtilbud,Børnehuset Mælkevejen,Græsvangen 127,56.192261,10.103862,,Doesn't have solar
Tilst dagtilbud,Det Blå Hus,Haurumsvej 18,56.189178,10.108735,,Doesn't have solar
Tilst dagtilbud,Snurretoppen,Haurumsvej 16A,56.188915,10.108512,,Doesn't have solar
Tilst dagtilbud,Spiloppen,Græsvangen 48,56.192284,10.09986,,Doesn't have solar
